Precincts,Borough,Asian_Population,2021_S1,2021_S2,2021_S3,2021_S4,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,FELONY_2021_S1,FELONY_2021_S2,FELONY_2021_S3,FELONY_2021_S4,MISDEMEANDOR_2021_S1,MISDEMEANDOR_2021_S2,MISDEMEANDOR_2021_S3,MISDEMEANDOR_2021_S4,VIOLATION_2021_S1,VIOLATION_2021_S2,VIOLATION_2021_S3,VIOLATION_2021_S4,FELONY_2020,FELONY_2019,FELONY_2018,FELONY_2017,FELONY_2016,FELONY_2015,FELONY_2014,FELONY_2013,FELONY_2012,FELONY_2011,FELONY_2010,MISDEMEANDOR_2020,MISDEMEANDOR_2019,MISDEMEANDOR_2018,MISDEMEANDOR_2017,MISDEMEANDOR_2016,MISDEMEANDOR_2015,MISDEMEANDOR_2014,MISDEMEANDOR_2013,MISDEMEANDOR_2012,MISDEMEANDOR_2011,MISMEANDOR_2010,VIOLATION_2020,VIOLATION_2019,VIOLATION_2018,VIOLATION_2017,VIOLATION_2016,VIOLATION_2015,VIOLATION_2014,VIOLATION_2013,VIOLATION_2012,VIOLATION_2011,VIOLATION_2010
71,BROOKLYN,2708,13.66322009,10.70901034,12.18611521,16.61742984,1.107828656,0,0,0,0.369276219,0,0,0,0,0,0,3.692762186,2.954209749,2.954209749,5.539143279,7.754800591,4.062038405,7.016248154,7.385524372,2.215657312,3.692762186,2.215657312,4.431314623,0.369276219,0,0,0,0.369276219,0,0,0,0,0,0,0.738552437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,BROOKLYN,40609,3.890763131,4.949641705,5.86076978,5.220517619,0.049250166,0.024625083,0,0,0,0,0,0,0,0,0,1.674505651,2.043881898,2.856509641,2.758009308,1.773005984,2.437883228,2.388633062,1.994631732,0.492501662,0.615627078,0.738752493,0.837252826,0.024625083,0.024625083,0,0,0,0,0,0,0,0,0,0.024625083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,BROOKLYN,1413,29.01627742,24.06227884,33.26256192,31.84713376,2.830856334,0.707714084,0,0,0,0,0,0,0,0,0,8.492569002,9.907997169,9.200283086,9.200283086,14.15428167,9.907997169,14.15428167,19.10828025,6.369426752,4.246284501,9.907997169,4.246284501,2.830856334,0.707714084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,BROOKLYN,15070,12.80690113,11.87790312,14.53218315,14.39946914,0.398142004,0,0,0,0,0,0.066357001,0,0,0,0,5.04313205,5.04313205,6.436629064,5.04313205,5.905773059,4.578633046,5.573988056,6.834771068,1.99071002,2.256138023,2.720637027,3.118779031,0.066357001,0,0,0,0,0,0.066357001,0,0,0,0,0.199071002,0,0,0,0,0,0,0,0,0,0,0.132714001,0,0,0,0,0,0,0,0,0,0
76,BROOKLYN,3039,8.55544587,5.923000987,8.55544587,6.910167818,1.974333662,0,0.32905561,0,0.32905561,0,0.32905561,0,0,0,0,4.606778546,2.303389273,3.619611714,2.961500494,2.961500494,2.961500494,4.606778546,3.619611714,0.987166831,0.658111221,0.658111221,0.987166831,0.32905561,0,0.32905561,0,0.32905561,0,0,0,0,0,0,0.987166831,0,0,0,0,0,0,0,0,0,0,0.658111221,0,0,0,0,0,0,0,0,0,0
77,BROOKLYN,4865,10.27749229,11.51079137,9.8663926,8.221993834,0.822199383,0.411099692,0,0,0,0,0,0,0,0,0,4.316546763,3.494347379,3.494347379,3.494347379,5.138746146,5.549845838,4.727646454,3.494347379,1.027749229,2.46659815,1.644398767,1.849948613,0.205549846,0.411099692,0,0,0,0,0,0,0,0,0,0.616649538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,BROOKLYN,6149,5.691982436,9.432428037,10.40819645,7.968775411,0.813140348,0.16262807,0,0,0,0,0,0,0,0,0,3.089933322,4.390957879,4.22832981,2.114164905,1.463652626,3.903073671,4.22832981,4.553585949,1.138396487,1.463652626,2.114164905,1.301024557,0.325256139,0.16262807,0,0,0,0,0,0,0,0,0,0.325256139,0,0,0,0,0,0,0,0,0,0,0.16262807,0,0,0,0,0,0,0,0,0,0
79,BROOKLYN,5539,16.24842029,10.47120419,12.45712222,14.44304026,1.444304026,0.180538003,0,0,0,0,0,0,0,0,0,5.596678101,2.888608052,4.513450081,4.152374075,6.860444123,4.693988084,5.416140097,5.416140097,3.971836071,3.249684058,2.527532045,5.235602094,0.722152013,0.180538003,0,0,0,0,0,0,0,0,0,0.722152013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,BROOKLYN,2588,18.16074189,19.70633694,22.79752705,20.0927357,2.704791345,0.386398764,0.772797527,0,0,0,0.386398764,0,0,0,0,8.114374034,9.659969088,11.20556414,6.182380216,6.955177743,7.341576507,6.56877898,10.43276662,3.477588872,3.091190108,5.023183926,5.795981453,1.545595054,0,0.386398764,0,0,0,0,0,0,0,0,0.772797527,0,0.386398764,0,0,0,0,0,0,0,0,0.386398764,0.386398764,0,0,0,0,0,0,0,0,0
83,BROOKLYN,7593,9.087317266,8.428816015,11.45792177,10.00921902,0.13170025,0,0,0,0,0,0,0,0,0,0,3.160806006,3.819307257,6.058211511,4.214408007,4.346108258,3.687607006,4.609508758,4.346108258,1.712103253,0.921901752,0.921901752,2.238904254,0,0,0,0,0,0,0,0,0,0,0,0.13170025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,BROOKLYN,9446,4.446326487,8.680923142,7.728138895,9.845437222,0.317594749,0,0,0,0,0,0,0,0,0,0,1.799703578,2.752487826,2.752487826,3.811136989,2.011433411,3.49354224,3.281812407,4.022866822,0.635189498,2.434893076,1.799703578,2.540757993,0.105864916,0,0,0,0,0,0,0,0,0,0,0.211729833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,BROOKLYN,7347,5.036069144,7.077718797,6.124948959,6.94160882,3.674969375,0.408329931,0,0,0,0,0,0,0,0,0,2.17775963,2.17775963,2.17775963,2.041649653,1.633319722,3.811079352,3.266639445,3.674969375,1.224989792,1.088879815,0.952769838,1.769429699,1.361099769,0.136109977,0,0,0,0,0,0.136109977,0,0,0,1.769429699,0.272219954,0,0,0,0,0.136109977,0,0,0,0,0.544439907,0,0,0,0,0,0,0,0,0,0
90,BROOKLYN,7995,9.505941213,9.130706692,10.13133208,9.130706692,2.376485303,0.250156348,0,0,0,0.125078174,0,0,0,0,0,2.751719825,2.501563477,3.752345216,5.128205128,5.878674171,5.253283302,5.378361476,3.502188868,0.875547217,1.500938086,1.375859912,1.125703565,1.000625391,0.250156348,0,0,0,0,0,0,0,0,0,1.250781739,0,0,0,0,0.125078174,0,0,0,0,0,0.125078174,0,0,0,0,0,0,0,0,0,0
94,BROOKLYN,5836,6.168608636,8.567511995,8.910212474,8.738862234,2.227553119,0.34270048,0.17135024,0,0,0,0,0,0,0,0,2.570253598,3.769705278,3.769705278,5.311857437,2.398903358,2.912954078,3.598355038,3.427004798,1.199451679,2.056202879,1.542152159,1.542152159,0.856751199,0.34270048,0.17135024,0,0,0,0,0,0,0,0,1.028101439,0,0,0,0,0,0,0,0,0,0,0.34270048,0,0,0,0,0,0,0,0,0,0
100,QUEENS,1876,9.594882729,10.66098081,19.7228145,6.396588486,9.594882729,1.066098081,2.665245203,0.533049041,0,0,0,0,0,0,0,0.533049041,4.264392324,5.330490405,1.066098081,5.330490405,4.797441365,10.12793177,4.797441365,3.731343284,1.599147122,4.264392324,1.066098081,3.198294243,1.066098081,0.533049041,0.533049041,0,0,0,1.066098081,0,0,0,4.797441365,0,1.599147122,0,0,0,0,0,0,0,0,1.599147122,0,0,0,0,0,0,0,0,0,0
101,QUEENS,1769,12.43640475,18.65460712,23.17693612,18.65460712,13.00169587,3.39174675,0.565291125,0.565291125,0,0.565291125,0,0,0,0,0,5.087620124,4.522328999,8.479366874,6.218202374,4.522328999,7.914075749,13.00169587,6.218202374,2.826455625,6.218202374,2.826455625,6.783493499,4.522328999,1.695873375,0.565291125,0.565291125,0,0,0,0,0,0,0,6.783493499,1.695873375,0,0,0,0.565291125,0,0,0,0,0,1.695873375,0,0,0,0,0,0,0,0,0,0
102,QUEENS,39235,8.793169364,11.26545177,12.38689945,10.55180324,0.586211291,0.10194979,0.025487447,0.025487447,0.025487447,0.025487447,0.025487447,0.025487447,0,0,0,2.497769848,3.440805403,3.56824264,3.797629667,4.358353511,5.301389066,6.116987384,4.817127565,2.038995795,2.650694533,2.854594112,2.421307506,0.152924685,0.025487447,0.025487447,0.025487447,0,0.025487447,0,0.025487447,0,0,0,0.407799159,0.076462342,0,0,0.025487447,0,0,0.025487447,0,0,0,0.025487447,0,0,0,0,0,0,0,0,0,0
